Código do Produto;Mês;Custo Unitário
163C0150;1;0,2338
163C0150;2;0,2043
163C0150;3;0,2456
163C0150;4;0,219
163C0150;5;0,1679
163C0150;6;0,2495
163C0150;7;0,228
163C0150;8;0,2283
163C0150;9;0,17
163C0150;10;0,2064
163C0150;11;0,1957
163C0150;12;0,2457
163C0300;1;0,2246
163C0300;2;0,2315
163C0300;3;0,2037
163C0300;4;0,1784
163C0300;5;0,2076
163C0300;6;0,1663
163C0300;7;0,2442
163C0300;8;0,221
163C0300;9;0,2306
163C0300;10;0,1878
163C0300;11;0,2484
163C0300;12;0,2448
481T0432;1;0,2958
481T0432;2;0,2266
481T0432;3;0,2585
481T0432;4;0,2124
481T0432;5;0,2211
481T0432;6;0,2855
481T0432;7;0,2899
481T0432;8;0,3169
481T0432;9;0,2471
481T0432;10;0,2519
481T0432;11;0,2631
481T0432;12;0,226
524T0750;1;0,2196
524T0750;2;0,2617
524T0750;3;0,2316
524T0750;4;0,286
524T0750;5;0,2557
524T0750;6;0,3071
524T0750;7;0,2826
524T0750;8;0,2443
524T0750;9;0,2989
524T0750;10;0,301
524T0750;11;0,2541
524T0750;12;0,2386
