Regiao;Estado;Municipio;Revenda;CNPJ;Produto;Data da Coleta;Valor de Venda;Bandeira
SE;SP;SAO PAULO;AUTO POSTO MISTRAL LTDA.; 04.937.358/0001-04;GASOLINA;01/01/2025;5,99;VIBRA
SE;SP;SAO PAULO;AUTO POSTO MISTRAL LTDA.; 04.937.358/0001-04;ETANOL;01/01/2025;3,99;VIBRA
SE;SP;SAO PAULO;AUTO POSTO DUQUE CITY LTDA; 04.765.173/0001-51;GASOLINA;01/01/2025;7,99;VIBRA
SE;SP;SAO PAULO;AUTO POSTO DUQUE CITY LTDA; 04.765.173/0001-51;ETANOL;01/01/2025;5,89;VIBRA
SE;SP;SAO PAULO;AUTO POSTO NOVO CENTRO LTDA; 02.646.144/0001-45;GASOLINA;01/01/2025;5,79;VIBRA
SE;SP;SAO PAULO;AUTO POSTO NOVO CENTRO LTDA; 02.646.144/0001-45;ETANOL;01/01/2025;3,79;VIBRA
SE;SP;SAO PAULO;AUTO POSTO LIDER SANTOS DUMONT LTDA; 00.016.969/0001-50;GASOLINA;01/01/2025;5,66;VIBRA
SE;SP;SAO PAULO;AUTO POSTO LIDER SANTOS DUMONT LTDA; 00.016.969/0001-50;DIESEL S10;01/01/2025;5,83;VIBRA
SE;SP;SAO PAULO;AUTO POSTO LIDER SANTOS DUMONT LTDA; 00.016.969/0001-50;ETANOL;01/01/2025;3,77;VIBRA
SE;SP;TAUBATE;AUTO POSTO PETROVAL LTDA; 45.172.608/0001-31;GASOLINA;01/01/2025;6,04;VIBRA
SE;SP;TAUBATE;AUTO POSTO PETROVAL LTDA; 45.172.608/0001-31;DIESEL S10;01/01/2025;6,35;VIBRA
SE;SP;TAUBATE;AUTO POSTO PETROVAL LTDA; 45.172.608/0001-31;ETANOL;01/01/2025;4,24;VIBRA
SE;SP;TAUBATE;SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.256.893/0011-02;GASOLINA;01/01/2025;5,59;BRANCA
SE;SP;TAUBATE;SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.256.893/0011-02;DIESEL S10;01/01/2025;5,69;BRANCA
SE;SP;TAUBATE;SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.256.893/0011-02;ETANOL;01/01/2025;3,79;BRANCA
SE;SP;JACAREI;AUTO POSTO COLEGINHO LTDA.; 03.038.484/0001-56;GASOLINA;01/01/2025;5,49;VIBRA
SE;SP;JACAREI;AUTO POSTO COLEGINHO LTDA.; 03.038.484/0001-56;ETANOL;01/01/2025;3,69;VIBRA
SE;SP;JACAREI;CENTRO AUTOMOTIVO BRASIL BPX LTDA; 08.958.132/0001-32;GASOLINA;01/01/2025;5,59;RAIZEN
SE;SP;JACAREI;CENTRO AUTOMOTIVO BRASIL BPX LTDA; 08.958.132/0001-32;ETANOL;01/01/2025;3,69;RAIZEN
SE;SP;JACAREI;AUTO POSTO BARAO DE JACAREI LTDA; 96.265.921/0001-55;GASOLINA;01/01/2025;5,76;VIBRA
SE;SP;JACAREI;AUTO POSTO BARAO DE JACAREI LTDA; 96.265.921/0001-55;ETANOL;01/01/2025;3,97;VIBRA
SE;SP;JACAREI;REDE DE SERVICOS PACHECAO LTDA; 04.305.582/0001-75;GASOLINA;01/01/2025;6,09;VIBRA
SE;SP;JACAREI;REDE DE SERVICOS PACHECAO LTDA; 04.305.582/0001-75;DIESEL S10;01/01/2025;5,79;VIBRA
SE;SP;JACAREI;REDE DE SERVICOS PACHECAO LTDA; 04.305.582/0001-75;ETANOL;01/01/2025;4,19;VIBRA
SE;SP;JACAREI;SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.256.893/0010-21;GASOLINA;01/01/2025;5,69;BRANCA
SE;SP;JACAREI;SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.256.893/0010-21;DIESEL S10;01/01/2025;5,79;BRANCA
SE;SP;JACAREI;SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.256.893/0010-21;ETANOL;01/01/2025;3,89;BRANCA
SE;SP;JACAREI;SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.256.893/0002-11;GASOLINA;01/01/2025;5,69;BRANCA
SE;SP;JACAREI;SETE ESTRELAS COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.256.893/0002-11;ETANOL;01/01/2025;3,79;BRANCA
SE;SP;JACAREI;POSTO DE SERVICOS SHOPPING DE JACAREI LTDA; 62.122.908/0001-25;GASOLINA;01/01/2025;5,79;IPIRANGA
