Municipio;Mes;Produto;Preco_Distribuicao
ADAMANTINA;2025-01;ETANOL;3,3224
ADAMANTINA;2025-02;ETANOL;3,4268
ADAMANTINA;2025-03;ETANOL;3,4237
ADAMANTINA;2025-04;ETANOL;3,3468
ADAMANTINA;2025-05;ETANOL;3,3169
ADAMANTINA;2025-06;ETANOL;3,1935
ADAMANTINA;2025-07;ETANOL;3,1979
ADAMANTINA;2025-08;ETANOL;3,3018
ADAMANTINA;2025-09;ETANOL;3,4321
ADAMANTINA;2025-10;ETANOL;3,4055
ADAMANTINA;2025-11;ETANOL;3,4529
ADAMANTINA;2025-12;ETANOL;3,5823
ADAMANTINA;2025-01;GASOLINA;5,3234
ADAMANTINA;2025-02;GASOLINA;5,4206
ADAMANTINA;2025-03;GASOLINA;5,392
ADAMANTINA;2025-04;GASOLINA;5,3587
ADAMANTINA;2025-05;GASOLINA;5,2771
ADAMANTINA;2025-06;GASOLINA;5,311
ADAMANTINA;2025-07;GASOLINA;5,2629
ADAMANTINA;2025-08;GASOLINA;5,271
ADAMANTINA;2025-09;GASOLINA;5,2272
ADAMANTINA;2025-10;GASOLINA;5,2439
ADAMANTINA;2025-11;GASOLINA;5,2792
ADAMANTINA;2025-12;GASOLINA;5,2985
ADAMANTINA;2025-01;DIESEL S10;5,5537
ADAMANTINA;2025-02;DIESEL S10;5,7674
ADAMANTINA;2025-03;DIESEL S10;5,6376
ADAMANTINA;2025-04;DIESEL S10;5,4232
ADAMANTINA;2025-05;DIESEL S10;5,1745
ADAMANTINA;2025-06;DIESEL S10;5,2232
ADAMANTINA;2025-07;DIESEL S10;5,3621
ADAMANTINA;2025-08;DIESEL S10;5,4488
ADAMANTINA;2025-09;DIESEL S10;5,3591
ADAMANTINA;2025-10;DIESEL S10;5,4188
ADAMANTINA;2025-11;DIESEL S10;5,4492
ADAMANTINA;2025-12;DIESEL S10;5,4304
AMERICANA;2025-01;ETANOL;3,4645
AMERICANA;2025-02;ETANOL;3,565
AMERICANA;2025-03;ETANOL;3,5284
AMERICANA;2025-04;ETANOL;3,438
AMERICANA;2025-05;ETANOL;3,3946
AMERICANA;2025-06;ETANOL;3,2736
AMERICANA;2025-07;ETANOL;3,2779
AMERICANA;2025-08;ETANOL;3,3946
AMERICANA;2025-09;ETANOL;3,5023
AMERICANA;2025-10;ETANOL;3,4739
AMERICANA;2025-11;ETANOL;3,564
AMERICANA;2025-12;ETANOL;3,6966
AMERICANA;2025-01;GASOLINA;5,3327
AMERICANA;2025-02;GASOLINA;5,4361
AMERICANA;2025-03;GASOLINA;5,398
AMERICANA;2025-04;GASOLINA;5,3707
AMERICANA;2025-05;GASOLINA;5,3315
AMERICANA;2025-06;GASOLINA;5,2713
AMERICANA;2025-07;GASOLINA;5,2713
AMERICANA;2025-08;GASOLINA;5,2706
AMERICANA;2025-09;GASOLINA;5,2736
AMERICANA;2025-10;GASOLINA;5,2794
AMERICANA;2025-11;GASOLINA;5,2589
AMERICANA;2025-12;GASOLINA;5,2893
AMERICANA;2025-01;DIESEL S10;5,5093
AMERICANA;2025-02;DIESEL S10;5,758
AMERICANA;2025-03;DIESEL S10;5,6651
AMERICANA;2025-04;DIESEL S10;5,4107
AMERICANA;2025-05;DIESEL S10;5,1996
AMERICANA;2025-06;DIESEL S10;5,1869
AMERICANA;2025-07;DIESEL S10;5,2447
AMERICANA;2025-08;DIESEL S10;5,3585
AMERICANA;2025-09;DIESEL S10;5,3421
AMERICANA;2025-10;DIESEL S10;5,3527
AMERICANA;2025-11;DIESEL S10;5,3817
AMERICANA;2025-12;DIESEL S10;5,4156
AMPARO;2025-01;ETANOL;3,5039
AMPARO;2025-02;ETANOL;3,646
AMPARO;2025-03;ETANOL;3,5845
AMPARO;2025-04;ETANOL;3,4662
AMPARO;2025-05;ETANOL;3,4576
AMPARO;2025-06;ETANOL;3,3378
AMPARO;2025-07;ETANOL;3,3162
AMPARO;2025-08;ETANOL;3,4516
AMPARO;2025-09;ETANOL;3,5524
AMPARO;2025-10;ETANOL;3,5324
AMPARO;2025-11;ETANOL;3,6167
AMPARO;2025-12;ETANOL;3,7262
AMPARO;2025-01;GASOLINA;5,3584
